Alba;12884156;SCOALA GIMNAZIALA CERU BACAINTI;Comuna Ceru Bacainti;Alba, Comuna Ceru Bacainti, STRADA PRINCIPALA, Numar 23, Bloc/Scara , Sector , Cod postal 517235;4562079;COMUNA CERU BACAINTI;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12899076;SCOALA GIMNAZIALA ION AGARBICEANU CENADE;Comuna Cenade;Alba, Comuna Cenade, Sat CENADE, Numar 250, Bloc/Scara , Sector , Cod postal 517210;13729380;MENTS;4562028;COMUNA CENADE
Alba;12899092;SCOALA GIMNAZIALA SONA;Comuna Sona;Alba, Comuna Sona, STRADA 23 AUGUST, Numar 2, Bloc/Scara , Sector , Cod postal 517755;4562036;COMUNA SONA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12899106;SCOALA GIMNAZIALA SUGAG;Comuna Sugag;Alba, Comuna Sugag, STRADA VALEA FRUMOASEI, Numar 169, Bloc/Scara , Sector , Cod postal 517775;4562427;COMUNA SUGAG;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12905739;SCOALA GIMNAZIALA CRACIUNELU DE JOS;Comuna Craciunelu de Jos;Alba, Comuna Craciunelu de Jos, STRADA 6 Martie, Numar 66, Bloc/Scara , Sector , Cod postal 517260;13729380;MENTS;4561944;COMUNA CRACIUNELU DE JOS
Alba;12905747;SCOALA GIMNAZIALA DECEBAL CRICAU;Comuna Cricau;Alba, Comuna Cricau, STRADA CRICAU, Numar 319, Bloc/Scara , Sector , Cod postal 517265;4562508;COMUNA CRICAU;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12917164;SCOALA GIMNAZIALA GIRBOVA;Comuna Garbova;Alba, Comuna Garbova, STRADA GIRBOVA, Numar 79, Bloc/Scara , Sector , Cod postal 517305;4562044;COMUNA GIRBOVA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12917172;SCOALA GIMNAZIALA SEBES PAL RIMETEA;Comuna Rimetea;Alba, Comuna Rimetea, STRADA RIMETEA, Numar 124, Bloc/Scara , Sector , Cod postal 517610;4562125;COMUNA RIMETEA;13729380;MINISTERUL EDUCATIEI ,CERCETARII TINERETULUI SI SPORTULUI
Alba;12917180;SCOALA GIMNAZIALA DOSTAT;Comuna Dostat;Alba, Comuna Dostat, STRADA DOSTAT, Numar 235, Bloc/Scara , Sector , Cod postal 517275;13729380;MINISTERUL EDUCATIEI NATIONALE;4562265;COMUNA DOSTAT
Alba;19006373;SCOALA GIMNAZIALA IOAN MAIORESCU BUCERDEA GRANOASA;Comuna Bucerdea Granoasa;Alba, Comuna Bucerdea Granoasa, STRADA IOAN MAIORESCU, Numar 130, Bloc/Scara , Sector , Cod postal 517261;13729380;MENTS;18866256;COMUNA BUCERDEA GRANOASA
Alba;39820740;SCOALA GIMNAZIALA DRASOV;Comuna Spring;Alba, Comuna Spring, STRADA PRINCIPALA, Numar 98, Bloc/Scara , Sector , Cod postal 517769;13729380;MINISTERUL EDUCATIEI NATIONALE;4562133;COMUNA SPRING
Arad;29011865;SCOALA GIMNAZIALA IRATOSU;Comuna Iratosu;Arad, Comuna Iratosu, STRADA PRINCIPALA, Numar 547, Bloc/Scara , Sector , Cod postal 317200;3519534;COMUNA IRATOSU;13729380;MINISTERUL EDUCATIEI NATIONALE
Arad;29013939;SCOALA GIMNAZIALA VLADIMIRESCU;Comuna Vladimirescu;Arad, Comuna Vladimirescu, STRADA GARII, Numar 59, Bloc/Scara , Sector , Cod postal 317405;3519615;COMUNA VLADIMIRESCU;13729380;MINISTERUL EDUCATIEI NATIONALE
Arad;29015905;SCOALA GIMNAZIALA PAULIS;Comuna Paulis;Arad, Comuna Paulis, Sat PRINCIPALA, Numar 711, Bloc/Scara , Sector , Cod postal 317230;3520245;COMUNA PAULIS;13729380;MINISTERUL EDUCATIEI NATIONALE
Arad;29018448;SCOALA GIMNAZIALA EMIL MONTIA SICULA;Comuna Sicula;Arad, Comuna Sicula, STRADA PRINCIPALA, Numar 270, Bloc/Scara , Sector , Cod postal 317325;3519046;COMUNA SICULA;13729380;MINISTERUL EDUCATIEI NATIONALE
Arad;29021710;SCOALA GIMNAZIALA GHEORGHE POPOVICI APATEU;Comuna Apateu;Arad, Comuna Apateu,  , Numar 425, Bloc/Scara , Sector , Cod postal 317010;3519372;COMUNA APATEU;13729380;MINISTERUL EDUCATIEI NATIONALE
Arad;29021842;SCOALA GIMNAZIALA FISCUT;Comuna Sagu;Arad, Comuna Sagu,  , Numar 156-157, Bloc/Scara , Sector , Cod postal 317313;13729380;MINISTERUL EDUCATIEI NATIONALE;3519585;COMUNA SAGU
Arad;29021877;SCOALA GIMNAZIALA SAGU;Comuna Sagu;Arad, Comuna Sagu,  , Numar 178-179, Bloc/Scara , Sector , Cod postal 317310;3519585;COMUNA SAGU;13729380;MINISTERUL EDUCATIEI NATIONALE
Arad;29021893;SCOALA GIMNAZIALA ANDREI SAGUNA ANDREI SAGUNA;Comuna Zimandul Nou;Arad, Comuna Zimandul Nou,  LOCALITATEA ANDREI SAGUNA, Numar 165, Bloc/Scara , Sector , Cod postal 317426;3519623;COMUNA ZIMANDU NOU;13729380;MINISTERUL EDUCATIEI NATIONALE
